YearQuarter,PricePerUnit,LeaseContractLength,PurchaseOption,vCPU,DiskType,operatingSystem,Memory,networkPerformance,StorageSize,Quarter,year
2019Q3,1.5321011904761903,2.0,Partial Upfront,64.0,SSD,Linux,26.0,50.0,900.0,3.0,2019
2019Q4,1.60175,2.0,Partial Upfront,64.0,SSD,Linux,26.0,50.0,900.0,4.0,2019
2020Q3,1.7825833333333334,2.0,Partial Upfront,64.0,SSD,Linux,26.0,50.0,900.0,3.0,2020
2021Q3,2.4207083333333332,2.0,Partial Upfront,64.0,SSD,Linux,26.0,50.0,900.0,3.0,2021
2022Q1,1.8494583333333334,2.0,Partial Upfront,64.0,SSD,Linux,26.0,50.0,900.0,1.0,2022
2022Q2,1.5829583333333332,2.0,Partial Upfront,64.0,SSD,Linux,26.0,50.0,900.0,2.0,2022
2022Q3,1.5829583333333332,2.0,Partial Upfront,64.0,SSD,Linux,26.0,50.0,900.0,2.0,2023
2022Q4,1.5829583333333332,2.0,Partial Upfront,64.0,SSD,Linux,26.0,50.0,900.0,2.0,2023
2023Q1,1.5829583333333332,2.0,Partial Upfront,64.0,SSD,Linux,26.0,50.0,900.0,2.0,2023
2023Q2,1.5829583333333332,2.0,Partial Upfront,64.0,SSD,Linux,26.0,50.0,900.0,2.0,2023
