YearQuarter,PricePerUnit,LeaseContractLength,PurchaseOption,vCPU,DiskType,operatingSystem,Memory,networkPerformance,StorageSize,Quarter,year
2022Q2,2.1264837500000002,2.0,No Upfront,16.0,SSD,Linux,128.0,12500.0,950.0,2.0,2022
2022Q3,2.28788875,2.0,No Upfront,16.0,SSD,Linux,128.0,12500.0,950.0,3.0,2022
2022Q4,2.245702083333333,2.0,No Upfront,16.0,SSD,Linux,128.0,12500.0,950.0,4.0,2022
2023Q1,2.245702083333333,2.0,No Upfront,16.0,SSD,Linux,128.0,12500.0,950.0,4.0,2023
2023Q2,2.245702083333333,2.0,No Upfront,16.0,SSD,Linux,128.0,12500.0,950.0,4.0,2023
2023Q3,2.245702083333333,2.0,No Upfront,16.0,SSD,Linux,128.0,12500.0,950.0,4.0,2023
2023Q4,2.245702083333333,2.0,No Upfront,16.0,SSD,Linux,128.0,12500.0,950.0,4.0,2023
