YearQuarter,PricePerUnit,LeaseContractLength,PurchaseOption,vCPU,DiskType,operatingSystem,Memory,networkPerformance,StorageSize,Quarter,year
2022Q2,3.1982669444444443,2.0,No Upfront,16.0,SSD,Windows,128.0,12500.0,950.0,2.0,2022
2022Q3,3.357447222222222,2.0,No Upfront,16.0,SSD,Windows,128.0,12500.0,950.0,3.0,2022
2022Q4,3.3159088888888886,2.0,No Upfront,16.0,SSD,Windows,128.0,12500.0,950.0,4.0,2022
2023Q1,3.3159088888888886,2.0,No Upfront,16.0,SSD,Windows,128.0,12500.0,950.0,4.0,2023
2023Q2,3.3159088888888886,2.0,No Upfront,16.0,SSD,Windows,128.0,12500.0,950.0,4.0,2023
2023Q3,3.3159088888888886,2.0,No Upfront,16.0,SSD,Windows,128.0,12500.0,950.0,4.0,2023
2023Q4,3.3159088888888886,2.0,No Upfront,16.0,SSD,Windows,128.0,12500.0,950.0,4.0,2023
