YearQuarter,PricePerUnit,LeaseContractLength,PurchaseOption,vCPU,DiskType,operatingSystem,Memory,networkPerformance,StorageSize,Quarter,year
2022Q2,3.1053225,2.0,Partial Upfront,48.0,SSD,Linux,384.0,18750.0,2850.0,2.0,2022
2022Q3,3.33321125,2.0,Partial Upfront,48.0,SSD,Linux,384.0,18750.0,2850.0,3.0,2022
2022Q4,3.2736579166666666,2.0,Partial Upfront,48.0,SSD,Linux,384.0,18750.0,2850.0,4.0,2022
2023Q1,3.2736579166666666,2.0,Partial Upfront,48.0,SSD,Linux,384.0,18750.0,2850.0,4.0,2023
2023Q2,3.2736579166666666,2.0,Partial Upfront,48.0,SSD,Linux,384.0,18750.0,2850.0,4.0,2023
2023Q3,3.2736579166666666,2.0,Partial Upfront,48.0,SSD,Linux,384.0,18750.0,2850.0,4.0,2023
2023Q4,3.2736579166666666,2.0,Partial Upfront,48.0,SSD,Linux,384.0,18750.0,2850.0,4.0,2023
