YearQuarter,PricePerUnit,LeaseContractLength,PurchaseOption,vCPU,DiskType,operatingSystem,Memory,networkPerformance,StorageSize,Quarter,year
2022Q2,1.8732958333333332,2.0,No Upfront,16.0,SSD,Linux,32.0,12500.0,950.0,2.0,2022.0
2022Q3,2.023461875,2.0,No Upfront,16.0,SSD,Linux,32.0,12500.0,950.0,3.0,2022.0
2022Q4,2.01493375,2.0,No Upfront,16.0,SSD,Linux,32.0,12500.0,950.0,4.0,2022.0
2023Q1,2.01493375,2.0,No Upfront,16.0,SSD,Linux,32.0,12500.0,950.0,4.0,2022.0
2023Q2,2.01493375,2.0,No Upfront,16.0,SSD,Linux,32.0,12500.0,950.0,4.0,2022.0
2023Q3,2.01493375,2.0,No Upfront,16.0,SSD,Linux,32.0,12500.0,950.0,4.0,2022.0
2023Q4,2.01493375,2.0,No Upfront,16.0,SSD,Linux,32.0,12500.0,950.0,4.0,2022.0
