YearQuarter,PricePerUnit,LeaseContractLength,PurchaseOption,vCPU,DiskType,operatingSystem,Memory,networkPerformance,StorageSize,Quarter,year
2019Q3,9.657858333333333,2.0,No Upfront,64.0,SSD,Linux,26.0,75.0,2400.0,3.0,2019
2020Q2,9.059565476190476,2.0,No Upfront,64.0,SSD,Linux,26.0,75.0,2400.0,2.0,2020
2020Q3,8.999458333333333,2.0,No Upfront,64.0,SSD,Linux,26.0,75.0,2400.0,3.0,2020
2021Q1,8.772562500000001,2.0,No Upfront,64.0,SSD,Linux,26.0,75.0,2400.0,1.0,2021
2021Q2,8.772562500000001,2.0,No Upfront,64.0,SSD,Linux,26.0,75.0,2400.0,1.0,2022
2021Q3,8.772562500000001,2.0,No Upfront,64.0,SSD,Linux,26.0,75.0,2400.0,1.0,2022
2021Q4,8.772562500000001,2.0,No Upfront,64.0,SSD,Linux,26.0,75.0,2400.0,1.0,2022
2022Q1,8.772562500000001,2.0,No Upfront,64.0,SSD,Linux,26.0,75.0,2400.0,1.0,2022
