OfferTermCode,PricePerUnit,instanceType,instanceFamily,LeaseContractLength,PurchaseOption,OfferingClass,Location,vCPU,Memory,Tenancy,operatingSystem,year,networkPerformance,EffectiveDate,DiskType,StorageSize
4NA7Y494T4,2.453,f1.4xlarge,FPGA Instances,1,No Upfront,standard,EU,16,244,Shared,Linux,2018,10.0,2018-08-21,NVMe SSD,940
7NE97W5U4E,2.821,f1.4xlarge,FPGA Instances,1,No Upfront,convertible,EU,16,244,Shared,Linux,2018,10.0,2018-08-21,NVMe SSD,940
BPH4J8HBKS,1.811,f1.4xlarge,FPGA Instances,3,No Upfront,standard,EU,16,244,Shared,Linux,2018,10.0,2018-08-21,NVMe SSD,940
CUZHX8X6JH,1.343,f1.4xlarge,FPGA Instances,1,Partial Upfront,convertible,EU,16,244,Shared,Linux,2018,10.0,2018-08-21,NVMe SSD,940
HU7G6KETJZ,1.168,f1.4xlarge,FPGA Instances,1,Partial Upfront,standard,EU,16,244,Shared,Linux,2018,10.0,2018-08-21,NVMe SSD,940
R5XV2EPZQZ,0.965,f1.4xlarge,FPGA Instances,3,Partial Upfront,convertible,EU,16,244,Shared,Linux,2018,10.0,2018-08-21,NVMe SSD,940
Z2E3P23VKM,2.084,f1.4xlarge,FPGA Instances,3,No Upfront,convertible,EU,16,244,Shared,Linux,2018,10.0,2018-08-21,NVMe SSD,940
38NPMPTW36,0.591,f1.2xlarge,FPGA Instances,3,Partial Upfront,standard,EU,8,122,Dedicated,Linux,2017,10.0,2017-08-31,NVMe SSD,470
4NA7Y494T4,1.4793,f1.2xlarge,FPGA Instances,1,No Upfront,standard,EU,8,122,Dedicated,Linux,2017,10.0,2017-08-31,NVMe SSD,470
7NE97W5U4E,1.6817,f1.2xlarge,FPGA Instances,1,No Upfront,convertible,EU,8,122,Dedicated,Linux,2017,10.0,2017-10-31,NVMe SSD,470
BPH4J8HBKS,1.1258,f1.2xlarge,FPGA Instances,3,No Upfront,standard,EU,8,122,Dedicated,Linux,2017,10.0,2017-08-31,NVMe SSD,470
CUZHX8X6JH,0.8689,f1.2xlarge,FPGA Instances,1,Partial Upfront,convertible,EU,8,122,Dedicated,Linux,2017,10.0,2017-10-31,NVMe SSD,470
HU7G6KETJZ,0.7725,f1.2xlarge,FPGA Instances,1,Partial Upfront,standard,EU,8,122,Dedicated,Linux,2017,10.0,2017-08-31,NVMe SSD,470
R5XV2EPZQZ,0.6606,f1.2xlarge,FPGA Instances,3,Partial Upfront,convertible,EU,8,122,Dedicated,Linux,2017,10.0,2017-08-31,NVMe SSD,470
Z2E3P23VKM,1.2761,f1.2xlarge,FPGA Instances,3,No Upfront,convertible,EU,8,122,Dedicated,Linux,2017,10.0,2017-08-31,NVMe SSD,470
38NPMPTW36,0.5159,f1.2xlarge,FPGA Instances,3,Partial Upfront,standard,AWSGovCloud,8,122,Dedicated,Linux,2017,10.0,2017-10-31,NVMe SSD,470
4NA7Y494T4,1.5049,f1.2xlarge,FPGA Instances,1,No Upfront,standard,AWSGovCloud,8,122,Dedicated,Linux,2017,10.0,2017-10-31,NVMe SSD,470
7NE97W5U4E,1.7257,f1.2xlarge,FPGA Instances,1,No Upfront,convertible,AWSGovCloud,8,122,Dedicated,Linux,2017,10.0,2017-10-31,NVMe SSD,470
BPH4J8HBKS,1.1193,f1.2xlarge,FPGA Instances,3,No Upfront,standard,AWSGovCloud,8,122,Dedicated,Linux,2017,10.0,2017-10-31,NVMe SSD,470
CUZHX8X6JH,0.8191,f1.2xlarge,FPGA Instances,1,Partial Upfront,convertible,AWSGovCloud,8,122,Dedicated,Linux,2017,10.0,2017-10-31,NVMe SSD,470
HU7G6KETJZ,0.7139,f1.2xlarge,FPGA Instances,1,Partial Upfront,standard,AWSGovCloud,8,122,Dedicated,Linux,2017,10.0,2017-10-31,NVMe SSD,470
R5XV2EPZQZ,0.5918,f1.2xlarge,FPGA Instances,3,Partial Upfront,convertible,AWSGovCloud,8,122,Dedicated,Linux,2017,10.0,2017-10-31,NVMe SSD,470
Z2E3P23VKM,1.2833,f1.2xlarge,FPGA Instances,3,No Upfront,convertible,AWSGovCloud,8,122,Dedicated,Linux,2017,10.0,2017-10-31,NVMe SSD,470
38NPMPTW36,3.05,f1.16xlarge,FPGA Instances,3,Partial Upfront,standard,US,64,976,Dedicated,Linux,2017,25.0,2017-03-31,NVMe SSD,3760
4NA7Y494T4,8.925,f1.16xlarge,FPGA Instances,1,No Upfront,standard,US,64,976,Dedicated,Linux,2017,25.0,2017-03-31,NVMe SSD,3760
7NE97W5U4E,10.2636,f1.16xlarge,FPGA Instances,1,No Upfront,convertible,US,64,976,Dedicated,Linux,2017,25.0,2017-10-31,NVMe SSD,3760
BPH4J8HBKS,6.588,f1.16xlarge,FPGA Instances,3,No Upfront,standard,US,64,976,Dedicated,Linux,2017,25.0,2017-04-30,NVMe SSD,3760
CUZHX8X6JH,4.8874,f1.16xlarge,FPGA Instances,1,Partial Upfront,convertible,US,64,976,Dedicated,Linux,2017,25.0,2017-10-31,NVMe SSD,3760
HU7G6KETJZ,4.25,f1.16xlarge,FPGA Instances,1,Partial Upfront,standard,US,64,976,Dedicated,Linux,2017,25.0,2017-03-31,NVMe SSD,3760
R5XV2EPZQZ,3.5074,f1.16xlarge,FPGA Instances,3,Partial Upfront,convertible,US,64,976,Dedicated,Linux,2017,25.0,2017-04-30,NVMe SSD,3760
Z2E3P23VKM,7.5761,f1.16xlarge,FPGA Instances,3,No Upfront,convertible,US,64,976,Dedicated,Linux,2017,25.0,2017-04-30,NVMe SSD,3760
38NPMPTW36,0.775,f1.4xlarge,FPGA Instances,3,Partial Upfront,standard,US,16,244,Shared,Linux,2018,10.0,2018-08-21,NVMe SSD,940
4NA7Y494T4,2.264,f1.4xlarge,FPGA Instances,1,No Upfront,standard,US,16,244,Shared,Linux,2018,10.0,2018-08-21,NVMe SSD,940
7NE97W5U4E,2.599,f1.4xlarge,FPGA Instances,1,No Upfront,convertible,US,16,244,Shared,Linux,2018,10.0,2018-08-21,NVMe SSD,940
BPH4J8HBKS,1.68,f1.4xlarge,FPGA Instances,3,No Upfront,standard,US,16,244,Shared,Linux,2018,10.0,2018-08-21,NVMe SSD,940
CUZHX8X6JH,1.235,f1.4xlarge,FPGA Instances,1,Partial Upfront,convertible,US,16,244,Shared,Linux,2018,10.0,2018-08-21,NVMe SSD,940
HU7G6KETJZ,1.075,f1.4xlarge,FPGA Instances,1,Partial Upfront,standard,US,16,244,Shared,Linux,2018,10.0,2018-08-21,NVMe SSD,940
R5XV2EPZQZ,0.89,f1.4xlarge,FPGA Instances,3,Partial Upfront,convertible,US,16,244,Shared,Linux,2018,10.0,2018-08-21,NVMe SSD,940
Z2E3P23VKM,1.927,f1.4xlarge,FPGA Instances,3,No Upfront,convertible,US,16,244,Shared,Linux,2018,10.0,2018-08-21,NVMe SSD,940
38NPMPTW36,0.4321,f1.2xlarge,FPGA Instances,3,Partial Upfront,standard,EU,8,122,Shared,Linux,2017,10.0,2017-08-31,NVMe SSD,470
4NA7Y494T4,1.2596,f1.2xlarge,FPGA Instances,1,No Upfront,standard,EU,8,122,Shared,Linux,2017,10.0,2017-08-31,NVMe SSD,470
7NE97W5U4E,1.4436,f1.2xlarge,FPGA Instances,1,No Upfront,convertible,EU,8,122,Shared,Linux,2017,10.0,2017-10-31,NVMe SSD,470
BPH4J8HBKS,0.9383,f1.2xlarge,FPGA Instances,3,No Upfront,standard,EU,8,122,Shared,Linux,2017,10.0,2017-08-31,NVMe SSD,470
CUZHX8X6JH,0.6847,f1.2xlarge,FPGA Instances,1,Partial Upfront,convertible,EU,8,122,Shared,Linux,2017,10.0,2017-10-31,NVMe SSD,470
HU7G6KETJZ,0.5971,f1.2xlarge,FPGA Instances,1,Partial Upfront,standard,EU,8,122,Shared,Linux,2017,10.0,2017-08-31,NVMe SSD,470
