OfferTermCode,PricePerUnit,instanceType,instanceFamily,LeaseContractLength,PurchaseOption,OfferingClass,Location,vCPU,Memory,Tenancy,operatingSystem,year,networkPerformance,EffectiveDate,DiskType,StorageSize
R5XV2EPZQZ,5.00014,g5.48xlarge,GPU instance,3,Partial Upfront,convertible,EU,192,768,Dedicated,Linux,2022,100.0,2022-04-01,NVMe SSD,7600
Z2E3P23VKM,10.8003,g5.48xlarge,GPU instance,3,No Upfront,convertible,EU,192,768,Dedicated,Linux,2022,100.0,2022-04-01,NVMe SSD,7600
38NPMPTW36,1.7588,g5.24xlarge,GPU instance,3,Partial Upfront,standard,US,96,384,Shared,Linux,2022,50.0,2022-04-01,NVMe SSD,3800
4NA7Y494T4,5.26072,g5.24xlarge,GPU instance,1,No Upfront,standard,US,96,384,Shared,Linux,2022,50.0,2022-04-01,NVMe SSD,3800
7NE97W5U4E,6.5434,g5.24xlarge,GPU instance,1,No Upfront,convertible,US,96,384,Shared,Linux,2022,50.0,2022-04-01,NVMe SSD,3800
BPH4J8HBKS,3.64821,g5.24xlarge,GPU instance,3,No Upfront,standard,US,96,384,Shared,Linux,2022,50.0,2022-04-01,NVMe SSD,3800
CUZHX8X6JH,3.184,g5.24xlarge,GPU instance,1,Partial Upfront,convertible,US,96,384,Shared,Linux,2022,50.0,2022-04-01,NVMe SSD,3800
HU7G6KETJZ,2.5732,g5.24xlarge,GPU instance,1,Partial Upfront,standard,US,96,384,Shared,Linux,2022,50.0,2022-04-01,NVMe SSD,3800
R5XV2EPZQZ,2.166,g5.24xlarge,GPU instance,3,Partial Upfront,convertible,US,96,384,Shared,Linux,2022,50.0,2022-04-01,NVMe SSD,3800
Z2E3P23VKM,4.52776,g5.24xlarge,GPU instance,3,No Upfront,convertible,US,96,384,Shared,Linux,2022,50.0,2022-04-01,NVMe SSD,3800
38NPMPTW36,1.048,g4dn.12xlarge,GPU instance,3,Partial Upfront,standard,AsiaPacific,48,192,Shared,RHEL_HA,2021,50.0,2021-03-01,NVMe SSD,900
4NA7Y494T4,2.875,g4dn.12xlarge,GPU instance,1,No Upfront,standard,AsiaPacific,48,192,Shared,RHEL_HA,2021,50.0,2021-03-01,NVMe SSD,900
7NE97W5U4E,3.282,g4dn.12xlarge,GPU instance,1,No Upfront,convertible,AsiaPacific,48,192,Shared,RHEL_HA,2021,50.0,2021-03-01,NVMe SSD,900
BPH4J8HBKS,2.252,g4dn.12xlarge,GPU instance,3,No Upfront,standard,AsiaPacific,48,192,Shared,RHEL_HA,2021,50.0,2021-03-01,NVMe SSD,900
CUZHX8X6JH,1.567,g4dn.12xlarge,GPU instance,1,Partial Upfront,convertible,AsiaPacific,48,192,Shared,RHEL_HA,2021,50.0,2021-03-01,NVMe SSD,900
HU7G6KETJZ,1.373,g4dn.12xlarge,GPU instance,1,Partial Upfront,standard,AsiaPacific,48,192,Shared,RHEL_HA,2021,50.0,2021-03-01,NVMe SSD,900
R5XV2EPZQZ,1.242,g4dn.12xlarge,GPU instance,3,Partial Upfront,convertible,AsiaPacific,48,192,Shared,RHEL_HA,2021,50.0,2021-03-01,NVMe SSD,900
Z2E3P23VKM,2.67,g4dn.12xlarge,GPU instance,3,No Upfront,convertible,AsiaPacific,48,192,Shared,RHEL_HA,2021,50.0,2021-03-01,NVMe SSD,900
38NPMPTW36,0.45166,g4ad.8xlarge,GPU instance,3,Partial Upfront,standard,Canada,32,128,Shared,Linux,2021,15.0,2021-04-01,NVMe SSD,1200
4NA7Y494T4,1.22001,g4ad.8xlarge,GPU instance,1,No Upfront,standard,Canada,32,128,Shared,Linux,2021,15.0,2021-04-01,NVMe SSD,1200
7NE97W5U4E,1.46925,g4ad.8xlarge,GPU instance,1,No Upfront,convertible,Canada,32,128,Shared,Linux,2021,15.0,2021-04-01,NVMe SSD,1200
BPH4J8HBKS,0.97558,g4ad.8xlarge,GPU instance,3,No Upfront,standard,Canada,32,128,Shared,Linux,2021,15.0,2021-04-01,NVMe SSD,1200
CUZHX8X6JH,0.69964,g4ad.8xlarge,GPU instance,1,Partial Upfront,convertible,Canada,32,128,Shared,Linux,2021,15.0,2021-04-01,NVMe SSD,1200
HU7G6KETJZ,0.58095,g4ad.8xlarge,GPU instance,1,Partial Upfront,standard,Canada,32,128,Shared,Linux,2021,15.0,2021-04-01,NVMe SSD,1200
R5XV2EPZQZ,0.53937,g4ad.8xlarge,GPU instance,3,Partial Upfront,convertible,Canada,32,128,Shared,Linux,2021,15.0,2021-04-01,NVMe SSD,1200
Z2E3P23VKM,1.16504,g4ad.8xlarge,GPU instance,3,No Upfront,convertible,Canada,32,128,Shared,Linux,2021,15.0,2021-04-01,NVMe SSD,1200
